Date_Post,Job_Title,Company_Name,Image_Link,Job_Link,Location,Job_Type,Work_Type,Experience_Level,Skills,Job_Description,Job_Requirement
2 days ago,Branch Accountant,Sky Medical for Medical Devices -,,https://wuzzuf.net/jobs/p/6UB2JokEkYRc-Branch-Accountant-Sky-Medical-for-Medical-Devices-Cairo-Egypt,"Downtown, Cairo, Egypt ",Full Time,On-site,'1 - 2,"['Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Computer Skills', 'Microsoft Office', 'Microsoft Excel', 'MS', 'Commerce', 'accountant']","Verify, allocate, post and reconcile accounts payable and receivable 
 Produce error-free accounting reports and present their results 
 Analyze financial information and summarize financial status 
 Spot errors and suggest ways to improve efficiency and spending 
 Provide technical support and advice on Management accountant 
 Review and recommend modifications to accounting systems and procedures 
 Manage accounting assistants and bookkeepers 
 Participate in financial standards setting and in forecast process 
 Provide input into department’s goal setting process 
 Prepare financial statements and produce budget according to schedule 
 Assist with tax audits and tax returns 
 Direct internal and external audits to ensure compliance 
 Plan, assign and review staff’s work 
 Support month-end and year-end close process 
 Develop and document business processes and accounting policies to maintain and strengthen internal controls 
 Ensure compliance with GAAP principles 
 Liaise with our Financial manager and Accounting manager to improve financial procedures","BS degree in Accounting. 
 1-2 years of experience as an accountant. 
 Thorough knowledge of basic accounting procedures 
 In-depth understanding of Generally Accepted Accounting Principles (GAAP) 
 Advanced MS Excel skills 
 Accuracy and attention to detail"
2 days ago,Warehouse Manager,OPPO Egypt  Manufacturing -,,https://wuzzuf.net/jobs/p/UjzxIVxa3Mlb-Warehouse-Manager-OPPO-Egypt-Manufacturing-Cairo-Egypt,"10th of Ramadan City, Cairo, Egypt ",Full Time,On-site,'7 - 9,"['Supply', 'Supply Chain', 'Warehouse', 'Warehouse manager', 'Warehousing', 'Communication', 'Communication skills', 'Logistics', 'MS Office', 'ERP', 'Oracle', 'SAP']","Key Responsibilities: 
 Oversee Daily warehouse operations and manage all staff and operators. 
 Manage Inventory Shipping/Receiving & Ensure Safety Compliance. 
 Work on increasing efficiency, cost saving, and process improvement 
 Report directly to the company Managing Director with daily, weekly, and monthly reports. 
 Insure stock levels and stock count quarter, half, and end of year.","Education: Bachelor degree in Logistics, Supply Chain preferred or any field related. 
 Experience as a Warehouse Manager between 2 to 5 years. 
 Technical Skills: Proficiency in ERP systems (e.g., SAP, Oracle), and MS Office. 
 Soft Skills: Strong leadership, problem-solving, and communication skills."
2 days ago,Specification Engineer,ARACO for Building Materials and Contracting -,,https://wuzzuf.net/jobs/p/M1k3Ci3hYUo5-Specification-Engineer-ARACO-for-Building-Materials-and-Contracting-Cairo-Egypt,"Cairo, Egypt ",Full Time,Hybrid,'1 - 5,"['Construction', 'Specifications', 'technical', 'Civil Engineering', 'Engineering']","Role Description 
 This is a full-time hybrid role for a Specification Engineer based in Cairo, Egypt. The Specification Engineer will be responsible for developing and managing product specifications, working closely with the sales and technical teams to ensure the accuracy and compliance of technical documents. The role will involve preparing detailed engineering documents, providing technical support to clients, conducting site visits, and staying updated with industry standards and practices.","Technical Writing, Product Specifications, and Document Management skills 
 Experience in developing and managing engineering specifications 
 Site visits, Client Support, and Technical Support skills 
 Proficiency in industry standards, practices, and regulations 
 Excellent communication and collaboration skills 
 Ability to work independently and in a hybrid work environment 
 Experience in construction materials industry is advantageous 
 Bachelor's degree in Civil Engineering, Architecture, Material Science, or related field"
2 days ago,Wholesale Sales Representative,Atum Egypt -,,https://wuzzuf.net/jobs/p/JgvajcrYMSBF-Wholesale-Sales-Representative-Atum-Egypt-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'3 - 5,"['Representative', 'Sales', 'Sales representative', 'Sales Target', 'Wholesale', 'Wholesale sales', 'sales skills', 'Fashion', 'Customer Service']","The ideal candidate will be full responsible for the managing one or more of the company’s clients sales accounts. 
 Prospect and qualify new sales lead 
 Schedule meetings and presentations with prospects 
 Create, plan, and deliver presentations on company products 
 Develop strong, ongoing relationships with prospects and customers to Build and strengthen client relationships to achieve long-term partnerships 
 Coordinate with other team members and departments to optimize the sales effort 
 Supply management with reports on customer needs, problems, interests, competitive activities, and potential for new products and services.",No list items found in the requirements section.
2 days ago,Data Entry Clerk,alfanar -,,https://wuzzuf.net/jobs/p/2zVWmnIHvUYY-Data-Entry-Clerk-alfanar-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'2 - 5,"['Administration', 'computer', 'Data', 'Data Entry', 'English', 'excel', 'Microsoft Office', 'Typing', 'typing skills']","Transfer data from paper formats into computer files or database systems using keyboards, data recorders or optical scanners 
 Type in data provided directly from customers 
 Create spreadsheets with large numbers of figures without mistakes 
 Verify data by comparing it to source documents 
 Update existing data 
 Retrieve data from the database or electronic files as requested 
 Perform regular backups to ensure data preservation 
 Sort and organize paperwork after entering data to ensure it is not lost","Bachelor’s degree 
 Previous experience in data entry, clerical, or administrative support is preferred 
 Fast typing skills; Knowledge of touch typing system is strongly preferred 
 Excellent knowledge of word processing tools and spreadsheets (MS Office Word, Excel etc.) 
 Working knowledge of office equipment and computer hardware and peripheral devices 
 Basic understanding of databases 
 Good command of English both oral and written 
 Excellent time management and communication skills 
 Great attention to detail"
2 days ago,Agricultural Sales Representative,Nano Shield -,,https://wuzzuf.net/jobs/p/9BC81JG3gHEu-Agricultural-Sales-Representative-Nano-Shield-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'1 - 3,"['Agricultural', 'Agriculture', 'Sales', 'Sales Rep', 'sales skills', 'Sales Target', 'rep', 'Agricultural products']","The Agricultural Sales Representative is responsible for developing and maintaining relationships with current and potential customers to increase agricultural product sales. 
 This position requires a self-motivated individual who is able to work independently and as part of a team. 
 The Agricultural Sales Representative will be responsible for driving sales revenue and market share by developing and executing business plans, identifying sales opportunities, and expanding product lines. Duties include organizing customer visits, developing customer relationships, preparing sales proposals and presentations, and managing customer accounts. 
 The Representative will also be responsible for staying up to date on industry trends and technological advances and providing feedback to product development teams.",No list items found in the requirements section.
2 days ago,Senior Data Engineer,Link Development -,,https://wuzzuf.net/jobs/p/Z76kugdXqDQE-Senior-Data-Engineer-Link-Development-Cairo-Egypt,"Cairo, Egypt ",Full Time,Hybrid,'5+,"['Communication', 'computer', 'Data', 'Engineering', 'SSIS', 'Computer Science', 'Science', 'Software Development', 'Information Technology (IT)', 'Data Modeling', 'Data Warehousing', 'ETL']","Role Description 
 This is a full-time hybrid role for a Senior Data Engineer at Link Development. The role is primarily located in Qesm El Maadi with the option for some remote work. The Senior Data Engineer will be responsible for tasks related to data engineering, modeling, ETL processes, data warehousing, and data analytics.","Data Engineering and Data Modeling skills 
 Proficiency in Extract Transform Load (ETL) processes 
 Experience in Data Warehousing and Data Analytics 
 Strong problem-solving and analytical skills 
 Excellent communication and teamwork abilities 
 SQL, SSIS, Power BI 
 Azure is a plus 
 Bachelor's degree in Computer Science, Engineering, or related field 
 5+ years of experience in a similar role"
2 days ago,Handover Engineer,Dorra Group -,,https://wuzzuf.net/jobs/p/Rx3MNeeMQCr6-Handover-Engineer-Dorra-Group-Giza-Egypt,"Sheikh Zayed, Giza, Egypt ",Full Time,On-site,'0 - 2,"['Architecture', 'Civil Engineering', 'Communication skills', 'Handover', 'Communication', 'Engineering']","Communicating and coordinating with various parties involved in the handover process, such as the construction team, contractors, the sales department, customer service, and the clients themselves. 
 Conducting thorough inspections of completed property units to ensure they meet the required specifications and quality standards, and verifying that there are no structural defects or incomplete finishes. 
 Documenting any observations or defects identified during the inspection in organized and clear snag lists. 
 Monitoring contractors and maintenance teams to ensure that all snags on the lists are rectified within the agreed timeframe and to the required quality. 
 Ensuring that all necessary documents for the handover process are ready, such as handover certificates, appliance warranties, operation manuals, etc. 
 Being present during unit handover appointments with clients, explaining the unit details, and answering their inquiries. 
 Ensuring that clients sign the handover certificates after they are satisfied with the unit. 
 ecording and updating data for handed-over units and the details of the handover process in the designated systems and records.","A Bachelor's degree in Civil Engineering, Architectural Engineering. 
 Basic understanding of construction materials, methods, and quality control principles. 
 Familiarity with reading and interpreting architectural and structural drawings. 
 Awareness of relevant building codes and standards. 
 Basic proficiency in Microsoft Office Suite (Word, Excel, Outlook). 
 Familiarity with CAD software (like AutoCAD) is often a plus. 
 Strong attention to detail. 
 Excellent communication skills (both verbal and written) for interacting with various stakeholders (clients, contractors, internal teams). 
 Good organizational and time management skills to handle multiple tasks and deadlines. 
 Problem-solving abilities to identify and report issues effectively. 
 Teamwork and collaboration skills. 
 Customer-oriented attitude and the ability to handle client interactions professionally. 
 Exellant command of English (both spoken and written) . 
 A proactive attitude and a strong desire to learn and develop. 
 Maintaining a professional demeanor and appearance when interacting with clients and other stakeholders."
2 days ago,Operation Coordinator,Fengany -,,https://wuzzuf.net/jobs/p/PXfPZz0gOH3Y-Operation-Coordinator-Fengany-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Full Time,On-site,'4 - 6,"['Administration', 'Communication skills', 'Logistics Operations', 'Supply Chain', 'Operations Management', 'Customer Service', 'Project Coordination', 'excel', 'ERP', 'Coordination', 'Microsoft Office', 'English']","The Operations Coordinator is responsible for overseeing day-to-day business operations, ensuring smooth workflow across departments, and supporting logistics, procurement, and administrative functions. 
 Act as a point of contact between operations, customer service, procurement, and logistics to improve efficiency. 
 Coordinate daily order processing, shipping, and delivery to ensure smooth fulfillment operations. 
 Track and manage daily customer orders from confirmation to delivery. 
 Liaise with fulfillment teams to ensure timely and accurate shipments. 
 Resolve any issues related to delays, damaged items, or returns. 
 Monitor stock levels and support procurement with timely restocking and supplier follow-ups. 
 Generate operational reports and assist in process improvements to optimize workflow. 
 Use tools like Excel and ERP systems to track tasks, update data, and support team coordination. 
 Streamline internal processes to improve turnaround time and reduce operational friction. 
 Handle operational documentation, invoices, and filing.","Bachelor’s degree in Business Administration, Logistics, or related field. 
 4+ years of experience in an operations or coordination role. 
 Strong organizational and communication skills. 
 Proficient in Excel/Google Sheets and ERP or inventory systems. 
 Problem-solving mindset and ability to handle pressure. 
 Intermediate English Level."
2 days ago,Customer Service Representative,SIGMA Capital -,,https://wuzzuf.net/jobs/p/2FWNfBwi4ACX-Customer-Service-Representative-SIGMA-Capital-Giza-Egypt,"Mohandessin, Giza, Egypt ",Full Time,On-site,'1 - 3,"['Customer Care', 'Customer', 'Customer Service', 'Customer Support', 'Sales', 'Microsoft Office', 'Communication', 'Communication skills']","As a 
 Customer Service Representative 
 , you will be the first point of contact for our clients, providing expert assistance and resolving inquiries related to securities trading, account management, and investment services. Your role will be crucial in maintaining strong relationships with clients and ensuring that they receive timely, accurate, and friendly support. 
 Key Responsibilities: 
 Handle inbound and outbound client inquiries via phone, email, and chat. 
 Provide assistance with account-related inquiries, including balance, transactions, and trading activity. 
 Assist clients with the onboarding process and account setup. 
 Resolve technical issues or escalate to appropriate departments as needed. 
 Offer product knowledge on trading platforms, financial instruments, and market updates. 
 Ensure timely resolution of customer complaints and follow up to ensure satisfaction. 
 Collaborate with the sales, operations, and compliance teams to address client needs. 
 Maintain accurate client records and document interactions.","Previous experience in customer service, preferably within financial services or securities trading. 
 Strong knowledge of financial markets, securities trading, and investment products is a plus. 
 Excellent communication skills, both written and verbal. 
 Problem-solving attitude with the ability to manage multiple priorities. 
 Proficiency in Microsoft Office and CRM software; experience with trading platforms is a plus. 
 Ability to work in a fast-paced environment with a client-centric focus. 
 A high level of professionalism and attention to detail."
2 days ago,Administrative Specialist,alfanar -,,https://wuzzuf.net/jobs/p/ryIlBmUFMAOa-Administrative-Specialist-alfanar-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'4 - 8,"['Administration', 'Business Administration', 'Communication', 'Human Resources (HR)', 'MS Office', 'Microsoft Excel', 'administrative', 'Microsoft Office']","Process and report on office expenses 
 Maintain physical and digital employee records 
 Schedule in-house and external meetings 
 Distribute incoming mail 
 Manage and order office supplies 
 Make travel arrangements 
 Organize company documents into updated filing systems 
 Handle sensitive information with discretion and confidentiality 
 Address employees’ and clients’ queries (via email, phone or in-person) 
 Prepare presentations, spreadsheets and reports 
 Update office policies as needed","Bachelor's degree 
 Proven experience as an administrative specialist, office assistant, or similar role 
 Hands-on experience with MS Office Suite (particularly MS Word and MS Excel) 
 Familiarity with office equipment, like printers and fax machines 
 Basic math skills 
 Solid time-management abilities with the ability to prioritize tasks 
 Excellent verbal and written communication skills 
 Previous experience in [Personnel] is a plus"
2 days ago,Civil Engineer - Real Estate,Confidential -,,https://wuzzuf.net/jobs/p/oY4FJf8NEWVD-Civil-Engineer---Real-Estate-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Full Time,On-site,'5+,"['Civil', 'Primavera', 'Real Estate', 'Development', 'Engineering', 'Civil Engineering', 'AutoCAD', 'Construction', 'Management', 'Project', 'Project Management', 'Architecture', 'Drawings']","Full supervision of construction and finishing projects executed by the company, ensuring they are completed with the required quality, within the approved timelines and budgets, and in line with the company’s objectives. 
 On-site supervision of all phases of construction and finishing works. 
 Selecting and contracting with highly competent contractors, and monitoring their performance on-site. 
 Strong negotiation skills to secure the best prices from contractors and suppliers while achieving project goals effectively in terms of time and budget. 
 Ensuring that all executed works conform to the approved drawings and specifications, and identifying any discrepancies before handing over to the consultant. 
 Preparing detailed project timelines and closely monitoring execution against the schedule. 
 Submitting regular progress reports to management, including updates, challenges, and proposed solutions. 
 Managing the project budget, monitoring expenses, and controlling costs. 
 Resolving technical and execution challenges that may arise during the project lifecycle. 
 Reviewing and cross-checking engineering drawings to detect and resolve conflicts early.","Bachelor’s degree in Civil Engineering. 
 Minimum 5 years of experience in the real estate development sector. 
 Full proficiency in reading and validating execution drawings. 
 Proficient in project management and engineering software (e.g., MS Project or Primavera, AutoCAD)."
2 days ago,Automotive Sales Representative - RM (Alex - Giza - Cairo),Sky Holding -,,https://wuzzuf.net/jobs/p/PrxzRkSAQdfO-Automotive-Sales-Representative---RM-Alex---Giza---Cairo-Sky-Holding-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'1 - 2,"['Negotiation', 'Automotive', 'Communication', 'Sales', 'sales skills']","Job Description 
 Identifying prospects, setting appointments, making effective qualifying sales calls, and managing sales cycle to close new business in all service categories. 
 Prospecting and qualifying new sales leads. 
 Negotiating prices and terms and preparing sales agreements with potential clients. 
 Coding customers in the system and creating sales order. 
 Maintaining relationships with existing clients to ensure that they receive exceptional service and to identify potential new sales opportunities. 
 Following up with the old customers with the new offers and with their previous deals. 
 Visiting potential clients and showrooms to evaluate needs and promote products and services. 
 Introducing the company’s profile with the new leads. 
 Marketing following up to add the new showrooms. 
 Following up with the rates and prices in the market to know the best deal in the market. 
 Monitoring and understanding the customer’s needs. 
 Following up with the credit department to complete all the customer’s documents.","Bachelor s degree in Business Administration or any relevant field. 
 Excellent selling, negotiation and communication skills 
 Minimum 1 years of  experience in loan sales or Automotive background"
2 days ago,Procurement Specialist Outsourced - Alexandria,Prometeon tyres group – Egypt -,,https://wuzzuf.net/jobs/p/OudcITmnQdtX-Procurement-Specialist-Outsourced---Alexandria-Prometeon-tyres-group-–-Egypt-Alexandria-Egypt,"Ameria, Alexandria, Egypt ",Full Time,On-site,'1 - 3,"['business', 'Procurement', 'Supply Chain', 'Logistics', 'Purchasing', 'AAST', 'Delivery', 'excel', 'word', 'SAP', 'Engineering', 'English']","Conduct ongoing communication and negotiation with established vendors and new vendors to achieve company’s goals and targets. 
 Responsible for the cross functional communication with the other departments. 
 Ensure all activities related to sourcing and procurement of necessary materials and supplies to meet operational, project and program demands to support short, medium and long-term objectives. 
 Follow up on the operational Actions. 
 Reports Creations. 
 Outsourced Contract details & Benefits 
 Annual Fulltime Contract is signed and renewed based on performance through Top Business Co. 
 Medical & Social & life Insurance covered through Top Business Co. 
 Transportation provided via Prometeon. 
 Restaurant Meal & Cafeteria Benefits provided via Prometeon. 
 Company giveaways provided via Prometeon. 
 Employee can enroll in departmental trainings after probation period. 
 Fridays & Saturdays weekends 
 Sunday's smart working day (working from anywhere employee desire) 
 Annual Yearly bonus.","1 - 3 Years of Experience in Procurement or Logistics role. 
 BSc in Business / Logistics / Engineering Alexandria University or AAST or relevant. 
 Alexandria Residence is a MUST. 
 Excellent English Commands of both Spoken & Written is a MUST. 
 Excellent commands of Ms. Office package ( PowerPoint / Excel / Word / Outlook). 
 Familiar with SAP-EBP System is PLUS. 
 Ability to analyze different data and information. 
 Ability to work alone & effective in a team of different ages. 
 Ability to meet deadline line with perfect results & well-organized manner. 
 Ability to delivery & prepare accurate and organized reports."
2 days ago,Non-Voice Account |Chat & E-mails|Excellent English speakers| e&UAE.,Etisalat Egypt -,,https://wuzzuf.net/jobs/p/L6MkCiwustn7-Non-Voice-Account-Chat-E-mailsExcellent-English-speakers-eUAE-Etisalat-Egypt-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'888 ,"['Customer Service', 'sales', 'chat', '888', 'B2B', 'call center Agent', 'Agent', 'backoffice', 'fluency', 'Profinet', 'sales skills', 'Communication', 'Microsoft Office', 'English Teaching', 'English Instructing', 'Teaching English as a Foreign  Language', 'Foregin Language', 'Advisor', 'Inquiries', 'complains', 'UK', 'vuk', 'B2', 'Request', 'Handling', 'Assist', 'Customer Care', 'Customer Satisfaction', 'AHT', 'Customer Relations', 'Customer Survey', 'Web Chat', 'Chat Support']","Etisalat global services is hiring Excellent English up to fluent English speakers to be a customer service advisor responsible for handling UAE customers through Email and chat. (Etisalat UAE account). 
 Job Benefits: 
 .Salary 15k 
 .Cola increase (15%) from joining date 
 .Bonus program 
 .Annual bonus 
 .Annual salary increase 
 .Social and medical insurance 
 .Free VPN line 
 .chance for promoted after 6 months 
 .Opportunity To travel To UAE 
 Location:Maadi, Degla Square (No transportation provided)","Fluency in English (B2 level or higher) 
 Excellent communication skills 
 Flexibility to work rotational shifts"
2 days ago,Maintenance Manager ( Food Manufacturing ),Confidential -,,https://wuzzuf.net/jobs/p/6LX3cNALUj7u-Maintenance-Manager-Food-Manufacturing-Giza-Egypt,"6th of October, Giza, Egypt ",Full Time,On-site,'10 - 15,"['Food Services', 'Maintenance', 'Engineering', 'Mechanical Engineering', 'Electrical Engineering', 'Production', 'Maintenance Plans', 'Food Production', 'Food', 'Food Manufacturing', 'Food Safety Management System', 'Food Processing', 'Food Safety Management', 'Food & Beverage', 'International Food Safety Management Systems Standard', 'MAINTENANCE MANAGER', 'Manager', 'Preventive Maintenance', 'corrective maintenance']","Manage and provide subordinates and team members with the necessary support to conduct maintenance tasks and activities towards the achievement of objectives and plans. 
 Make and Develop the maintenance Plans and monitor its achievement ensuring that preventive and predictive maintenance best practices are applied. 
 Develop and implement maintenance processes and procedures towards the achievement of maintenance objectives efficiently. 
 Develop and monitor the maintenance budget and promptly identify deviations and ensure that appropriate actions are taken to rectify these.","Bachelor's Degree in Engineering. 
 Background in Food production, is a must. 
 More than 10 years of experience including at least 4 years as a Maintenance Manager. 
 Giza or 6th October Resident"
2 days ago,Senior Property Consultant,Houseology Real Estate -,,https://wuzzuf.net/jobs/p/uqqZizsg4tnV-Senior-Property-Consultant-Houseology-Real-Estate-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'3 - 5,"['Real Estate', 'Sales', 'sales skills', 'Sales Target', 'Communication', 'Negotiation', 'Marketing']","Collaborate with buyers to understand their specific requirements, preferences, and budget for purchasing a property. 
 Conduct thorough research to identify suitable properties that match the buyer's criteria. 
 Schedule and conduct property showings and tours for potential buyers. 
 Provide expert advice and guidance on the market conditions, property values, and investment opportunities & assist clients in determining their buying strategies. 
 Negotiate with sellers or their agents on behalf of buyers to secure the best possible terms and conditions for the purchase. 
 Assist buyers in preparing purchase offers for the properties they are interested in. 
 Oversee the entire home buying process to ensure a smooth and successful transaction to complete all necessary paperwork, inspections, and legal requirements. 
 Provide buyers with insights into market conditions, comparable property sales, and potential investment opportunities to help them make informed decisions. 
 Review and explain purchase contracts, addendums, and disclosures to buyers. 
 Coordinate with escrow officers and closing agents to facilitate a smooth closing process and attend the closing with buyers to address any last-minute questions or concerns. 
 Follow up with clients after transactions are completed to ensure their satisfaction and to generate referrals and repeat business. 
 Stay updated with industry regulations, market trends, and best practices through ongoing training and professional development.","Proven 3 – 5 years of experience and achievements in sales. 
 Real Estate background is a Must. 
 Bachelor's degree in business, marketing, or related field. 
 Excellent communication, Negotiation and interpersonal skills. 
 Familiarity with local real estate market trends and practices. 
 Proficient in using technology and real estate software."
2 days ago,Accountant (Customer Support),rank -,,https://wuzzuf.net/jobs/p/gzObExu0WUGv-Accountant-Customer-Support-rank-Alexandria-Egypt,"Alexandria, Egypt ",Full Time,On-site,'4 - 12,"['Computer Science', 'PL/SQL', 'ERP', 'Information Technology (IT)', 'Software Development', 'Development', 'Engineering', 'Oracle', 'Oracle Forms', 'Oracle PL/SQL', 'PL', 'SQL']","customers training and support on ERP systems 
 We are seeking a detail-oriented and proactive Accountant to manage our customers financial transactions, ensuring accuracy and compliance with accounting standards. The ideal candidate will have experience in financial reporting, tax preparation, and general ledger management, contributing to the overall financial health of our customers",No list items found in the requirements section.
2 days ago,Accountant,El Azzab Group -,,https://wuzzuf.net/jobs/p/eb816VRLEB2e-Accountant-El-Azzab-Group-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'5 - 20,"['Accounting', 'Finance', 'accountant', 'Financial Management', 'Financial Analysis']","Manage all accounting transactions 
 Prepare budget forecasts 
 Publish financial statements in time 
 Handle monthly, quarterly and annual closings 
 Reconcile accounts payable and receivable 
 Ensure timely bank payments 
 Compute taxes and prepare tax returns 
 Manage balance sheets and profit/loss statements 
 Report on the company’s financial health and liquidity 
 Audit financial transactions and documents 
 Reinforce financial data confidentiality and conduct database backups when necessary 
 Comply with financial policies and regulations",5-20 years of experience in accounting
2 days ago,Order Fulfillment Specialist,Fengany -,,https://wuzzuf.net/jobs/p/epfIVBYcUoYX-Order-Fulfillment-Specialist-Fengany-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Full Time,On-site,'1 - 3,"['order fulfillment', 'Fulfillment', 'Supply Chain', 'Logistics', 'English', 'Customer Service', 'Orders', 'Store Operations', 'Inventory Control']","Process and pack online orders from website dashboard ensuring accuracy, timelines and quality. 
 Review all picked orders for accuracy, correct quantity, size and Expiry Date. 
 Assembling, packaging and, labelling orders for shipping. 
 Track shipments and handle any issues or delays proactively. 
 Monitor stock levels and assist in monthly inventory audits. Report real-time inventory updates. 
 Helping with receiving and stocking Incoming Inventory. 
 Collaborate with the customer service team to resolve delivery or fulfillment related inquiries or complaints. 
 handle exchanges, cancellations, and return orders in accordance with company policy. 
 Generate daily and weekly fulfillment reports.","Proven work experience as a fulfillment associate or similar role. 
 Reading and interpreting written English orders. 
 Ability to stand for long periods of time. 
 Ability to lift and package products. 
 Coordination and organizational skills."
2 days ago,Lead Manager,Chapter One  -,,https://wuzzuf.net/jobs/p/C9pLyS7P5Wtw-Lead-Manager-Chapter-One-New-York-City-United-States,"New York City, United States ",Part Time,Remote,'1+,"['Business Administration', 'Business Development', 'Sales Operations', 'Telesales', 'Information Technology (IT)', 'Lead', 'Lead Generation', 'Management']","Role 
 Call pre‑qualified leads who applied online. 
 Explain our “start your own trade business” program and gauge fit. 
 Book qualified prospects into follow‑up calls with senior advisors.","Fluent English (spoken & written) 
 1+ year lead‑management / telesales experience 
 Comfortable qualifying prospects and updating a CRM 
 Confident phone presence with clear, friendly tone 
 Reliable laptop/PC, headset, and high‑speed internet 
 Available 15–20 hours per week (Cairo afternoons/evenings)"
2 days ago,E-Commerce Manager,J AND C INC -,,https://wuzzuf.net/jobs/p/lFoASwrkLR50-E-Commerce-Manager-J-AND-C-INC-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'3 - 9,"['Communication', 'Commerce', 'E-Marketing', 'English', 'Electronics', 'business', 'E-Commerce', 'Finance', 'Management', 'Marketing', 'Project Management', 'Sales']","Role Description 
 We are Hiring a strategic and data-driven E-commerce Platforms Manager to oversee the daily operations and long-term strategy of our online sales platforms. This role will be responsible for managing third-party marketplaces ( Amazon, Noon, Jumia our own website and social media) to optimize customer experience, and ensure operational excellence. 
 Key Responsibilities: 
 Manage and optimize performance across all e-commerce platforms including brand-owned social media 
 Lead strategy and execution for product listings, promotions, pricing, and advertising campaigns on platforms like Amazon, Noon, Jumia, etc. 
 Manage product catalog integrity, ensuring accurate descriptions, images, SEO optimization, and availability. 
 Stay on top of platform algorithms, policies, trends, and competitor activity. 
 Collaborate with marketing, logistics, customer service, and tech teams for seamless execution.","Bachelor’s degree in Business, Marketing, E-commerce, or related field 
 above 3 years of experience in managing e-commerce operations 
 Excellent communication, organizational, and project management skills. 
 Excellent English language 
 Age not exceeding 35 
 Strong learning ability and proficient adaptability to electronic products 
 People who love photography and taking video are preferred 
 Online sales experience, familiar with the online sales process, with the ability to develop cooperation (Amazon.com, ZMY, Noon and other big platform work experience is a must )"
2 days ago,Senior HR Generalist,LAZARO SCENT  -,,https://wuzzuf.net/jobs/p/FaPSgmQGe44m-Senior-HR-Generalist-LAZARO-SCENT-Alexandria-Egypt,"Smouha, Alexandria, Egypt ",Full Time,On-site,'5 - 7,"['HR', 'Business Administration', 'Administration', 'Recruitment', 'Personnel', 'Human Resources (HR)', 'business', 'HRIS', 'Communication', 'Microsoft Office', 'Payroll', 'Human Resources Development', 'Training Needs Analysis', 'Human Resources', 'HR generalist', 'People Management']",#NAME?,No list items found in the requirements section.
